Id,SalePrice
1461,127356.16
1462,162265.03
1463,187473.2
1464,197274.14
1465,179627.83
1466,177258.36
1467,179440.92
1468,169922.03
1469,169793.78
1470,120078.12
1471,198381.39
1472,95759.5
1473,93230.836
1474,155902.22
1475,117190.266
1476,380798.2
1477,256946.92
1478,284514.6
1479,211741.53
1480,519392.78
1481,311212.78
1482,208866.11
1483,152259.03
1484,168955.7
1485,177670.64
1486,198518.36
1487,314887.2
1488,230046.23
1489,207932.6
1490,216832.38
1491,182670.58
1492,90127.35
1493,210754.77
1494,287117.72
1495,293043.22
1496,215966.14
1497,168407.06
1498,156567.4
1499,156403.23
1500,158816.4
1501,176719.23
1502,144549.08
1503,314850.06
1504,229777.12
1505,220892.36
1506,187445.0
1507,259248.17
1508,195835.55
1509,165607.62
1510,142388.03
1511,143765.72
1512,163351.4
1513,154238.53
1514,200022.19
1515,212996.98
1516,153238.16
1517,165328.42
1518,116772.12
1519,236654.19
1520,131299.66
1521,134235.3
1522,150779.72
1523,111838.58
1524,120073.805
1525,118955.17
1526,122837.43
1527,90734.9
1528,144426.61
1529,151041.67
1530,171258.5
1531,92728.84
1532,109627.4
1533,150564.0
1534,122670.52
1535,165766.28
1536,113761.32
1537,69002.99
1538,171160.05
1539,202760.08
1540,99248.57
1541,161228.2
1542,130941.94
1543,232459.39
1544,80258.78
1545,112308.09
1546,128745.13
1547,132243.58
1548,134872.42
1549,114344.56
1550,138751.56
1551,119885.97
1552,147470.95
1553,148216.7
1554,119040.58
1555,177991.6
1556,82074.28
1557,99050.695
1558,89936.984
1559,96793.73
1560,127683.19
1561,140589.94
1562,125818.47
1563,113917.875
1564,150740.2
1565,144668.73
1566,237179.3
1567,72492.26
1568,210938.38
1569,128192.61
1570,133649.16
1571,127210.85
1572,151588.08
1573,262828.8
1574,108270.58
1575,200719.92
1576,239104.67
1577,203015.8
1578,139959.28
1579,150612.45
1580,202577.42
1581,152549.12
1582,126809.836
1583,326962.22
1584,222509.12
1585,144269.36
1586,75508.52
1587,94010.055
1588,151709.03
1589,110854.91
1590,130559.64
1591,98368.56
1592,119017.766
1593,112431.77
1594,144656.3
1595,117538.54
1596,236691.34
1597,183482.55
1598,197067.8
1599,186131.45
1600,179960.3
1601,70862.78
1602,105109.32
1603,98766.78
1604,264680.47
1605,242755.69
1606,164851.55
1607,175757.64
1608,204226.22
1609,206653.64
1610,162345.45
1611,138076.89
1612,160088.02
1613,165678.31
1614,127635.97
1615,97185.06
1616,66834.29
1617,92844.55
1618,125957.945
1619,148826.66
1620,163734.38
1621,134503.88
1622,137671.62
1623,276876.9
1624,202930.22
1625,123877.32
1626,153358.28
1627,189374.62
1628,282922.4
1629,180707.77
1630,433751.34
1631,225507.48
1632,254343.31
1633,174700.14
1634,189031.45
1635,178390.64
1636,158135.31
1637,191649.19
1638,212270.03
1639,187719.39
1640,261237.61
1641,169618.08
1642,209799.16
1643,224411.7
1644,232993.36
1645,182656.69
1646,156836.25
1647,143579.8
1648,127275.734
1649,135245.45
1650,119411.81
1651,123210.2
1652,95275.48
1653,95265.92
1654,151225.75
1655,132474.02
1656,150702.52
1657,151028.95
1658,145315.27
1659,117919.99
1660,156210.55
1661,502770.75
1662,406681.25
1663,405396.7
1664,541003.75
1665,334035.94
1666,323452.5
1667,406222.72
1668,331250.56
1669,308016.94
1670,338284.12
1671,254030.78
1672,529018.2
1673,302169.1
1674,254565.86
1675,185168.8
1676,193576.0
1677,236330.83
1678,530717.8
1679,385636.16
1680,362433.47
1681,261148.7
1682,284608.7
1683,173705.22
1684,170605.2
1685,168092.8
1686,167594.36
1687,176262.02
1688,188700.94
1689,188308.95
1690,182996.47
1691,176901.0
1692,255769.03
1693,177403.14
1694,186338.12
1695,167735.47
1696,271287.03
1697,174666.08
1698,353354.0
1699,343894.44
1700,237247.0
1701,248843.39
1702,253870.11
1703,256617.31
1704,279478.16
1705,233258.33
1706,520500.9
1707,227736.92
1708,208268.78
1709,261265.52
1710,210169.92
1711,255266.36
1712,238557.5
1713,259318.0
1714,210829.7
1715,198892.11
1716,196520.83
1717,172386.67
1718,126458.14
1719,192758.83
1720,236868.83
1721,166459.14
1722,119450.43
1723,154997.56
1724,218847.89
1725,244412.62
1726,195052.48
1727,154175.84
1728,191766.34
1729,172784.7
1730,159832.14
1731,118293.72
1732,127716.336
1733,114332.1
1734,120706.77
1735,134347.56
1736,113873.484
1737,335060.34
1738,216797.77
1739,294378.38
1740,236271.34
1741,201691.14
1742,173195.44
1743,172774.83
1744,309048.03
1745,201475.14
1746,189358.47
1747,220411.72
1748,219437.61
1749,143125.75
1750,149305.39
1751,233781.94
1752,116156.93
1753,136317.52
1754,205870.44
1755,188648.44
1756,133144.42
1757,118661.99
1758,146810.48
1759,178938.53
1760,155050.6
1761,154977.34
1762,175244.36
1763,163309.7
1764,111401.1
1765,163924.44
1766,155192.2
1767,205302.12
1768,146730.64
1769,178119.84
1770,143905.55
1771,127860.26
1772,129501.33
1773,142982.42
1774,103701.18
1775,135072.16
1776,117981.22
1777,111991.35
1778,136621.36
1779,99997.24
1780,183273.44
1781,121053.78
1782,81483.35
1783,137385.8
1784,102132.99
1785,112865.04
1786,114313.58
1787,142695.78
1788,48993.67
1789,103232.414
1790,60536.41
1791,185832.08
1792,157635.52
1793,141446.56
1794,152575.92
1795,127674.8
1796,116972.89
1797,116935.12
